"Unnamed: 0","text"
"73","<s>acoustic|Boyce Avenue: Somebody That I Used to Know (2012). Loudness: -10.078. Danceability: 0.729. Energy: 0.408. Tempo: 120.02.</s>"
"18","<s>acoustic|Ron Pope: One Grain of Sand (2012). Loudness: -7.168. Danceability: 0.713. Energy: 0.824. Tempo: 120.028.</s>"
"117","<s>acoustic|Meiko: Leave the Lights On - Culture Code Remix (2012). Loudness: -9.729. Danceability: 0.577. Energy: 0.592. Tempo: 139.998.</s>"
"78","<s>acoustic|Jon Bryant: Evening Sun (2012). Loudness: -13.203. Danceability: 0.45. Energy: 0.254. Tempo: 77.396.</s>"
"76","<s>acoustic|Eric Hutchinson: Not There Yet (2012). Loudness: -4.138. Danceability: 0.72. Energy: 0.839. Tempo: 122.007.</s>"
"31","<s>acoustic|Harley Poe: Still Here (2012). Loudness: -8.403. Danceability: 0.526. Energy: 0.527. Tempo: 88.263.</s>"
"64","<s>acoustic|Harley Poe: I Am The Living Dead (2012). Loudness: -8.252. Danceability: 0.554. Energy: 0.765. Tempo: 92.43.</s>"
"140","<s>acoustic|Boyce Avenue: Only Girl (In the World) (2012). Loudness: -9.532. Danceability: 0.719. Energy: 0.56. Tempo: 118.094.</s>"
"68","<s>acoustic|Ingrid Michaelson: Ghost (2012). Loudness: -5.808. Danceability: 0.519. Energy: 0.484. Tempo: 88.03.</s>"
"82","<s>acoustic|Harley Poe: Vampire's Night Out (2012). Loudness: -7.854. Danceability: 0.365. Energy: 0.522. Tempo: 166.242.</s>"
"109","<s>acoustic|Sanders Bohlke: The Loved Ones (2012). Loudness: -12.583. Danceability: 0.36. Energy: 0.167. Tempo: 139.193.</s>"
"12","<s>acoustic|Boyce Avenue: Someone Like You (2012). Loudness: -9.573. Danceability: 0.439. Energy: 0.207. Tempo: 136.514.</s>"
"36","<s>acoustic|Boyce Avenue: Fix You (2012). Loudness: -8.012. Danceability: 0.421. Energy: 0.441. Tempo: 138.07.</s>"
"9","<s>acoustic|Boyce Avenue: Heaven (2012). Loudness: -10.238. Danceability: 0.619. Energy: 0.28. Tempo: 129.948.</s>"
"19","<s>acoustic|Sara Bareilles: Once Upon Another Time (2012). Loudness: -14.504. Danceability: 0.275. Energy: 0.216. Tempo: 95.421.</s>"
